2025-05-27 09:07:00,036 - DEBUG - Dragging to: (1555, 1017)
2025-05-27 09:07:00,043 - DEBUG - Dragging to: (1554, 1017)
2025-05-27 09:07:00,045 - DEBUG - Dragging to: (1554, 1018)
2025-05-27 09:07:00,054 - DEBUG - Dragging to: (1553, 1019)
2025-05-27 09:07:00,060 - DEBUG - Dragging to: (1553, 1020)
2025-05-27 09:07:00,066 - DEBUG - Dragging to: (1552, 1020)
2025-05-27 09:07:00,077 - DEBUG - Dragging to: (1551, 1020)
2025-05-27 09:07:00,083 - DEBUG - Dragging to: (1551, 1021)
2025-05-27 09:07:00,130 - DEBUG - Dragging to: (1551, 1022)
2025-05-27 09:07:00,131 - DEBUG - Dragging to: (1550, 1022)
2025-05-27 09:07:00,153 - DEBUG - Dragging to: (1550, 1023)
2025-05-27 09:07:00,165 - DEBUG - Dragging to: (1550, 1024)
2025-05-27 09:07:00,264 - DEBUG - Dragging to: (1549, 1024)
2025-05-27 09:07:00,280 - DEBUG - Dragging to: (1548, 1024)
2025-05-27 09:07:02,225 - INFO - Selected region: left=1548, top=998, width=26, height=26
